Opening_Inventory,Deliveries,Forecast_Consumption,Projected_Closing_Inventory
45.93,24.15,43.978599999999986,26.101400000000012
39.15,11.45,57.79179999999999,-7.1917999999999935
15716.94,17.95,14.569999999999993,15720.320000000002
572.51,27.25,0.0,599.76
0.0,36.76,36.7754,-0.015399999999999636
109.24,0.0,63.03980000000007,46.200199999999924
0.0,16.17,16.157300000000024,0.012699999999977507
16497.52,46.64,10.730600000000011,16533.4294
10.47,17.71,27.53580000000001,0.6441999999999908
16358.09,30.75,18.710900000000024,16370.1291
6.51,16.73,22.979100000000003,0.26089999999999947
0.0,41.12,41.13389999999997,-0.013899999999971158
16009.49,23.47,9.080200000000014,16023.879799999999
247.56,33.78,33.744299999999996,247.59570000000002
0.0,33.19,33.179499999999955,0.01050000000004303
27.84,47.38,33.88420000000001,41.33579999999999
26.11,34.54,32.967800000000004,27.682199999999995
16343.63,45.09,11.61999999999999,16377.099999999997
0.0,39.99,0.0,39.99
15286.72,15.67,6.679299999999994,15295.7107
0.0,32.62,32.63599999999998,-0.015999999999984027
145.84,39.2,0.0,185.04000000000002
15988.82,27.45,18.829899999999974,15997.4401
0.0,38.69,38.69110000000003,-0.0011000000000294108
599.76,30.75,18.587299999999974,611.9227
285.43,36.54,66.11489999999993,255.8551000000001
20.76,0.0,27.16479999999998,-6.404799999999977
0.0,36.52,36.09649999999998,0.4235000000000255
0.0,44.12,33.08909999999997,11.030900000000024
0.0,45.18,30.749199999999995,14.430800000000005
46.19,14.19,29.874799999999983,30.505200000000013
16421.98,33.66,19.519499999999987,16436.1205
15720.32,47.8,6.2902999999999984,15761.829699999998
16258.4,35.71,12.69020000000003,16281.419799999998
0.0,29.22,29.219299999999972,0.0007000000000267903
0.0,39.23,39.215099999999985,0.01490000000001146
27.68,46.26,48.29249999999996,25.647500000000036
15761.83,18.63,14.679600000000004,15765.7804
0.0,48.43,36.587500000000006,11.842499999999994
611.92,28.57,30.910900000000023,609.5791
16533.43,11.69,0.0,16545.12
16370.13,25.61,6.3202000000000025,16389.4198
185.04,48.49,65.07789999999994,168.45210000000006
16436.12,18.06,12.180799999999998,16441.999200000002
0.0,17.59,17.583699999999975,0.006300000000024397
41.09,10.36,34.27689999999998,17.17310000000002
0.0,39.27,39.27690000000003,-0.006900000000030104
0.0,23.86,23.895400000000006,-0.035400000000006315
0.0,41.69,32.43539999999999,9.25460000000001
0.0,11.1,11.1088,-0.008800000000000807
0.0,13.01,0.0,13.01
15997.44,45.1,8.630099999999997,16033.9099
0.0,16.61,16.606199999999987,0.00380000000001246
0.56,38.08,0.0,38.64
30.52,0.0,44.0933,-13.5733
39.99,47.43,0.0,87.42
14.44,19.4,34.497099999999975,-0.6570999999999785
11.03,28.86,0.0,39.89
16281.42,49.67,19.169800000000023,16311.9202
16023.88,23.74,15.539399999999977,16032.0806
247.6,13.17,0.0,260.77
15295.71,23.09,10.158699999999989,15308.6413
16377.1,25.53,13.609699999999984,16389.0203
0.0,15.82,15.83659999999999,-0.016599999999989734
255.87,14.18,24.6005,245.4495
0.0,41.93,41.88660000000001,0.04339999999999122
168.47,45.13,0.0,213.6
11.82,17.54,30.251700000000007,-0.8917000000000073
87.42,48.43,60.524100000000004,75.32589999999999
15308.64,43.72,5.550500000000003,15346.8095
0.0,24.13,0.0,24.13
16389.42,21.61,17.099699999999974,16393.9303
16033.91,46.78,17.020299999999985,16063.6697
0.0,40.39,40.38110000000002,0.00889999999998281
25.48,48.7,45.55599999999998,28.624000000000024
15.92,36.9,54.06079999999997,-1.2407999999999717
609.58,21.25,29.239199999999972,601.5908000000001
9.26,27.58,36.634799999999984,0.20520000000001204
16545.12,34.02,15.726300000000014,16563.4137
16032.08,23.37,16.29899999999997,16039.151000000002
245.2,45.4,0.0,290.59999999999997
0.0,43.91,0.0,43.91
