site_id,Actual_Consumption,Predicted_RF,Forecast_Variance
SITE_022,43.97,43.978599999999986,-0.008599999999987062
SITE_025,50.6,57.79179999999999,-7.191799999999986
SITE_027,14.57,14.569999999999993,7.105427357601002e-15
SITE_024,0.0,0.0,0.0
SITE_020,36.76,36.7754,-0.015399999999999636
SITE_016,63.05,63.03980000000007,0.01019999999992649
SITE_017,16.17,16.157300000000024,0.012699999999977507
SITE_029,10.73,10.730600000000011,-0.0006000000000110361
SITE_001,28.18,27.53580000000001,0.6441999999999908
SITE_004,18.71,18.710900000000024,-0.0009000000000227715
SITE_018,23.24,22.979100000000003,0.2608999999999959
SITE_025,41.12,41.13389999999997,-0.013899999999971158
SITE_009,9.08,9.080200000000014,-0.00020000000001374474
SITE_026,33.74,33.744299999999996,-0.004299999999993531
SITE_010,33.19,33.179499999999955,0.01050000000004303
SITE_011,34.13,33.88420000000001,0.24579999999999558
SITE_022,32.97,32.967800000000004,0.0021999999999948727
SITE_015,11.62,11.61999999999999,8.881784197001252e-15
SITE_006,0.0,0.0,0.0
SITE_023,6.68,6.679299999999994,0.000700000000005474
SITE_003,32.62,32.63599999999998,-0.015999999999984027
SITE_014,0.0,0.0,0.0
SITE_002,18.83,18.829899999999974,0.00010000000002463594
SITE_007,38.69,38.69110000000003,-0.0011000000000294108
SITE_024,18.59,18.587299999999974,0.002700000000025682
SITE_028,66.1,66.11489999999993,-0.014899999999940405
SITE_013,20.76,27.16479999999998,-6.404799999999977
SITE_005,35.96,36.09649999999998,-0.13649999999997675
SITE_021,33.09,33.08909999999997,0.0009000000000298769
SITE_008,30.74,30.749199999999995,-0.009199999999996322
SITE_016,29.86,29.874799999999983,-0.014799999999983271
SITE_019,19.52,19.519499999999987,0.0005000000000130456
SITE_027,6.29,6.2902999999999984,-0.00029999999999841265
SITE_012,12.69,12.69020000000003,-0.00020000000002973195
SITE_030,29.22,29.219299999999972,0.0007000000000267903
SITE_020,39.23,39.215099999999985,0.01490000000001146
SITE_022,48.46,48.29249999999996,0.1675000000000395
SITE_027,14.68,14.679600000000004,0.00039999999999551505
SITE_020,36.61,36.587500000000006,0.022499999999993747
SITE_024,30.91,30.910900000000023,-0.0009000000000227715
SITE_029,0.0,0.0,0.0
SITE_004,6.32,6.3202000000000025,-0.00020000000000219842
SITE_014,65.06,65.07789999999994,-0.01789999999994052
SITE_019,12.18,12.180799999999998,-0.0007999999999981355
SITE_018,17.59,17.583699999999975,0.006300000000024397
SITE_011,35.53,34.27689999999998,1.2531000000000176
SITE_017,39.27,39.27690000000003,-0.006900000000030104
SITE_007,23.86,23.895400000000006,-0.035400000000006315
SITE_010,32.43,32.43539999999999,-0.005399999999987415
SITE_030,11.1,11.1088,-0.008800000000000807
SITE_001,0.0,0.0,0.0
SITE_002,8.63,8.630099999999997,-9.999999999621423e-05
SITE_003,16.61,16.606199999999987,0.00380000000001246
SITE_005,0.0,0.0,0.0
SITE_016,30.52,44.0933,-13.5733
SITE_006,0.0,0.0,0.0
SITE_008,33.84,34.497099999999975,-0.6570999999999714
SITE_021,0.0,0.0,0.0
SITE_012,19.17,19.169800000000023,0.0001999999999782176
SITE_009,15.54,15.539399999999977,0.0006000000000216943
SITE_026,0.0,0.0,0.0
SITE_023,10.16,10.158699999999989,0.001300000000011181
SITE_015,13.61,13.609699999999984,0.00030000000001528804
SITE_013,15.82,15.83659999999999,-0.016599999999989734
SITE_028,24.85,24.6005,0.24950000000000117
SITE_025,41.93,41.88660000000001,0.04339999999999122
SITE_014,0.0,0.0,0.0
SITE_020,29.36,30.251700000000007,-0.8917000000000073
SITE_006,60.61,60.524100000000004,0.0858999999999952
SITE_023,5.55,5.550500000000003,-0.0005000000000032756
SITE_003,0.0,0.0,0.0
SITE_004,17.1,17.099699999999974,0.00030000000002772254
SITE_002,17.02,17.020299999999985,-0.00029999999998508997
SITE_007,40.39,40.38110000000002,0.00889999999998281
SITE_022,45.73,45.55599999999998,0.1740000000000137
SITE_011,52.82,54.06079999999997,-1.2407999999999717
SITE_024,29.24,29.239199999999972,0.0008000000000265572
SITE_010,36.84,36.634799999999984,0.20520000000001914
SITE_029,15.72,15.726300000000014,-0.006300000000013739
SITE_009,16.3,16.29899999999997,0.0010000000000296438
SITE_028,0.0,0.0,0.0
SITE_013,0.0,0.0,0.0
SITE_005,0.0,0.0,0.0
SITE_021,32.92,32.91849999999999,0.0015000000000142677
SITE_008,26.09,26.08949999999999,0.0005000000000094929
SITE_016,24.15,24.15110000000002,-0.0011000000000223054
SITE_030,0.0,0.0,0.0
SITE_019,14.22,14.218400000000022,0.0015999999999785075
SITE_017,10.9,10.888200000000005,0.011799999999995592
SITE_015,9.24,9.241300000000006,-0.001300000000005852
SITE_027,10.56,10.560599999999987,-0.0005999999999861672
SITE_018,25.85,25.845799999999986,0.0042000000000150806
SITE_025,25.5,25.51790000000001,-0.017900000000011573
SITE_026,63.83,63.81100000000004,0.01899999999995572
SITE_012,10.18,10.179999999999986,1.4210854715202004e-14
SITE_001,40.29,39.78599999999999,0.504000000000012
SITE_005,36.86,36.855599999999995,0.004400000000003956
SITE_021,38.9,38.7615,0.1385000000000005
SITE_016,34.76,34.837800000000016,-0.07780000000001763
SITE_030,59.73,59.48520000000001,0.2447999999999837
SITE_020,24.65,24.64590000000003,0.004099999999969128
SITE_018,27.72,27.711000000000013,0.00899999999998613
SITE_026,39.4,39.306299999999986,0.09370000000001255
SITE_002,17.65,17.648500000000027,0.0014999999999716351
SITE_011,0.0,0.0,0.0
SITE_024,48.07,48.06890000000003,0.0010999999999725674
SITE_009,13.77,13.769599999999986,0.0004000000000132786
SITE_027,5.06,5.056700000000003,0.00329999999999675
SITE_029,7.95,7.950200000000011,-0.0002000000000110802
SITE_007,16.84,16.83699999999998,0.00300000000002143
SITE_022,0.0,0.0,0.0
SITE_006,22.89,19.918600000000016,2.971399999999985
SITE_028,37.68,37.61819999999997,0.0618000000000265
SITE_025,34.33,34.33229999999999,-0.002299999999991087
SITE_017,34.3,34.30160000000002,-0.0016000000000246928
SITE_019,10.05,10.049799999999982,0.0002000000000190738
SITE_023,6.13,6.129699999999997,0.00030000000000285354
SITE_012,11.52,11.519199999999987,0.0008000000000123464
SITE_015,9.64,9.639699999999989,0.0003000000000117353
SITE_014,15.45,15.446100000000026,0.003899999999973147
SITE_001,32.99,32.82119999999998,0.1688000000000187
SITE_013,27.54,26.322099999999974,1.217900000000025
SITE_010,29.69,29.69070000000002,-0.0007000000000196849
SITE_004,8.26,8.259699999999995,0.0003000000000046299
SITE_003,31.66,31.655100000000026,0.004899999999974369
SITE_008,28.52,28.515599999999992,0.004400000000007509
SITE_027,10.12,10.119600000000005,0.0003999999999937387
SITE_009,11.77,11.769999999999987,1.2434497875801753e-14
SITE_011,0.0,0.0,0.0
SITE_010,46.08,46.065300000000015,0.014699999999983504
SITE_004,9.51,9.506099999999996,0.0039000000000033452
SITE_014,66.06,66.04949999999997,0.010500000000035925
SITE_015,0.0,0.0,0.0
SITE_024,18.97,18.96600000000002,0.0039999999999800195
SITE_002,18.3,18.295999999999975,0.004000000000026205
SITE_022,37.05,37.045700000000004,0.004299999999993531
SITE_029,19.92,19.920700000000025,-0.0007000000000232376
SITE_018,24.29,24.345999999999986,-0.05599999999998673
SITE_006,53.89,53.65789999999999,0.23210000000000974
SITE_025,17.36,17.447600000000005,-0.08760000000000545
SITE_019,5.62,5.621100000000002,-0.0011000000000018773
SITE_023,9.64,9.639699999999989,0.0003000000000117353
SITE_013,0.0,0.0,0.0
SITE_017,43.41,43.29299999999998,0.11700000000001864
SITE_003,48.54,48.42910000000002,0.11089999999997957
SITE_021,0.0,0.0,0.0
SITE_005,37.92,37.882400000000004,0.037599999999997635
SITE_028,0.0,0.0,0.0
SITE_030,36.2,36.229100000000024,-0.029100000000020998
SITE_016,36.09,36.080099999999995,0.009900000000008902
SITE_026,51.71,51.67519999999996,0.03480000000003969
SITE_008,22.03,22.054799999999986,-0.024799999999984834
SITE_007,12.5,12.517500000000002,-0.017500000000001847
SITE_001,11.57,11.558999999999983,0.011000000000016996
