Actual_Consumption,Predicted_RF
43.97,43.978599999999986
50.6,57.79179999999999
14.57,14.569999999999993
0.0,0.0
36.76,36.7754
63.05,63.03980000000007
16.17,16.157300000000024
10.73,10.730600000000011
28.18,27.53580000000001
18.71,18.710900000000024
23.24,22.979100000000003
41.12,41.13389999999997
9.08,9.080200000000014
33.74,33.744299999999996
33.19,33.179499999999955
34.13,33.88420000000001
32.97,32.967800000000004
11.62,11.61999999999999
0.0,0.0
6.68,6.679299999999994
32.62,32.63599999999998
0.0,0.0
18.83,18.829899999999974
38.69,38.69110000000003
18.59,18.587299999999974
66.1,66.11489999999993
20.76,27.16479999999998
35.96,36.09649999999998
33.09,33.08909999999997
30.74,30.749199999999995
29.86,29.874799999999983
19.52,19.519499999999987
6.29,6.2902999999999984
12.69,12.69020000000003
29.22,29.219299999999972
39.23,39.215099999999985
48.46,48.29249999999996
14.68,14.679600000000004
36.61,36.587500000000006
30.91,30.910900000000023
0.0,0.0
6.32,6.3202000000000025
65.06,65.07789999999994
12.18,12.180799999999998
17.59,17.583699999999975
35.53,34.27689999999998
39.27,39.27690000000003
23.86,23.895400000000006
32.43,32.43539999999999
11.1,11.1088
0.0,0.0
8.63,8.630099999999997
16.61,16.606199999999987
0.0,0.0
30.52,44.0933
0.0,0.0
33.84,34.497099999999975
0.0,0.0
19.17,19.169800000000023
15.54,15.539399999999977
0.0,0.0
10.16,10.158699999999989
13.61,13.609699999999984
15.82,15.83659999999999
24.85,24.6005
41.93,41.88660000000001
0.0,0.0
29.36,30.251700000000007
60.61,60.524100000000004
5.55,5.550500000000003
0.0,0.0
17.1,17.099699999999974
17.02,17.020299999999985
40.39,40.38110000000002
45.73,45.55599999999998
52.82,54.06079999999997
29.24,29.239199999999972
36.84,36.634799999999984
15.72,15.726300000000014
16.3,16.29899999999997
0.0,0.0
0.0,0.0
0.0,0.0
32.92,32.91849999999999
26.09,26.08949999999999
24.15,24.15110000000002
0.0,0.0
14.22,14.218400000000022
10.9,10.888200000000005
9.24,9.241300000000006
10.56,10.560599999999987
25.85,25.845799999999986
25.5,25.51790000000001
63.83,63.81100000000004
10.18,10.179999999999986
40.29,39.78599999999999
36.86,36.855599999999995
38.9,38.7615
34.76,34.837800000000016
59.73,59.48520000000001
24.65,24.64590000000003
27.72,27.711000000000013
39.4,39.306299999999986
17.65,17.648500000000027
0.0,0.0
48.07,48.06890000000003
13.77,13.769599999999986
5.06,5.056700000000003
7.95,7.950200000000011
16.84,16.83699999999998
0.0,0.0
22.89,19.918600000000016
37.68,37.61819999999997
34.33,34.33229999999999
34.3,34.30160000000002
10.05,10.049799999999982
6.13,6.129699999999997
11.52,11.519199999999987
9.64,9.639699999999989
15.45,15.446100000000026
32.99,32.82119999999998
27.54,26.322099999999974
29.69,29.69070000000002
8.26,8.259699999999995
31.66,31.655100000000026
28.52,28.515599999999992
10.12,10.119600000000005
11.77,11.769999999999987
0.0,0.0
46.08,46.065300000000015
9.51,9.506099999999996
66.06,66.04949999999997
0.0,0.0
18.97,18.96600000000002
18.3,18.295999999999975
37.05,37.045700000000004
19.92,19.920700000000025
24.29,24.345999999999986
53.89,53.65789999999999
17.36,17.447600000000005
5.62,5.621100000000002
9.64,9.639699999999989
0.0,0.0
43.41,43.29299999999998
48.54,48.42910000000002
0.0,0.0
37.92,37.882400000000004
0.0,0.0
36.2,36.229100000000024
36.09,36.080099999999995
51.71,51.67519999999996
22.03,22.054799999999986
12.5,12.517500000000002
11.57,11.558999999999983
9.53,9.526399999999988
24.31,24.341699999999978
51.82,51.82260000000002
0.0,0.0
7.19,7.159800000000011
22.36,22.353999999999978
45.46,45.448399999999936
0.0,0.0
0.0,0.0
16.36,16.359499999999972
42.36,42.31749999999999
14.3,14.301099999999987
30.31,30.271299999999982
0.0,0.0
10.93,10.930299999999987
47.78,47.778300000000065
40.44,40.4431
9.0,8.9992
13.27,13.269199999999987
59.27,59.2852
29.47,29.591399999999993
47.38,47.371899999999954
12.33,12.327800000000002
15.12,15.119799999999966
22.47,22.467800000000015
8.02,8.018499999999989
28.28,28.28370000000003
12.23,12.228200000000014
35.12,35.00770000000003
54.62,54.61310000000003
47.35,47.347399999999986
49.9,48.71109999999999
0.0,0.0
10.22,10.230100000000007
37.62,37.61410000000002
25.98,25.977599999999985
35.3,35.300500000000035
17.23,17.22180000000002
6.75,6.75
5.65,5.64999999999999
12.28,12.28029999999998
6.87,6.869800000000003
47.92,47.92729999999999
55.53,55.522800000000025
12.15,12.1483
30.32,30.290099999999974
6.6,6.60060000000001
16.97,16.97010000000002
38.21,37.006
42.12,42.05789999999998
0.0,0.0
21.6,21.596799999999995
28.58,28.55420000000001
55.99,55.82059999999993
18.54,18.538799999999977
19.04,19.05059999999997
37.44,42.841199999999986
33.06,33.02920000000002
34.95,34.754499999999986
26.61,26.641900000000017
16.88,16.880700000000036
46.9,46.9101
9.39,9.39329999999999
53.54,53.570599999999956
15.9,15.900200000000023
45.29,45.05630000000003
5.46,5.460199999999995
47.41,47.50920000000003
19.85,19.85859999999998
24.25,24.231100000000005
37.24,37.17410000000001
11.12,11.110100000000003
18.35,18.36799999999998
18.17,18.169600000000024
9.35,9.351500000000014
0.0,0.0
10.84,10.840600000000006
33.99,33.60679999999999
15.52,15.519799999999986
0.0,0.0
14.94,14.937100000000017
34.62,34.60510000000001
21.4,21.416400000000024
8.32,8.31860000000001
15.19,15.193000000000024
31.4,31.398400000000017
11.74,11.738300000000008
0.0,0.0
0.0,0.0
0.0,0.0
17.54,17.540999999999976
32.39,32.3878
40.6,40.34620000000001
6.05,6.0504
9.98,9.979700000000014
30.29,30.357500000000005
14.02,14.022299999999984
23.55,25.906999999999996
40.63,40.629100000000015
6.37,6.366000000000005
35.62,37.74890000000002
33.34,33.36609999999997
13.53,13.534299999999979
54.73,54.54899999999995
42.62,42.6197
0.0,0.0
0.0,0.0
39.16,39.1533
5.09,5.088499999999991
29.36,29.40199999999999
34.03,33.961099999999995
18.99,18.98720000000001
0.0,0.0
6.08,6.078900000000002
44.35,44.353400000000036
64.6,64.5767
24.34,24.336299999999998
61.5,61.33339999999998
0.0,0.0
44.84,44.278700000000015
58.64,58.337000000000025
13.76,13.759299999999994
10.17,10.169799999999983
48.99,48.883899999999954
42.05,42.73879999999996
68.34,68.35870000000003
38.0,37.990599999999944
35.67,35.68780000000001
36.46,36.07040000000001
21.16,21.161600000000025
17.09,17.07939999999998
17.71,17.710100000000022
37.08,37.604199999999985
12.27,12.270299999999986
33.36,33.24629999999998
38.66,38.654200000000024
0.0,0.0
36.95,36.94299999999999
43.18,42.48979999999996
37.37,37.369000000000035
7.54,7.539999999999995
48.52,48.41880000000002
7.08,7.042300000000007
48.45,48.460099999999926
12.17,12.170599999999995
31.62,31.624400000000026
39.58,39.58030000000001
8.52,8.525099999999986
30.31,30.2985
16.28,16.28099999999998
33.42,33.41550000000003
6.03,6.029999999999985
36.27,36.29210000000002
0.0,0.0
0.0,0.0
15.96,15.95980000000002
14.11,14.11029999999998
27.23,27.515700000000006
15.38,15.385800000000025
0.0,0.0
47.43,47.43029999999998
32.89,32.892
5.62,5.6209000000000024
54.79,54.522400000000005
0.0,0.0
22.65,22.51340000000002
8.81,8.810499999999983
22.67,22.658400000000025
8.35,8.349700000000015
43.5,43.51279999999995
36.97,36.96249999999995
5.8,5.8015
15.56,15.55969999999997
23.15,22.509599999999992
29.77,29.784600000000005
23.69,23.696100000000015
45.49,45.49359999999998
33.43,33.43949999999998
19.08,19.073699999999977
61.05,59.176899999999954
25.69,25.68920000000003
6.78,6.78219999999999
15.33,15.329199999999988
0.0,0.0
41.81,41.79400000000003
15.05,15.050999999999972
14.52,14.518099999999988
19.18,19.17940000000002
0.0,0.0
33.21,33.201699999999995
0.0,0.0
15.12,15.119399999999967
0.0,0.0
34.37,34.365899999999975
11.67,11.665199999999997
59.89,59.51709999999992
0.0,0.0
24.34,24.336499999999997
20.17,20.191700000000022
11.25,11.250399999999999
15.07,15.067799999999986
17.15,17.14860000000003
40.97,40.96230000000002
51.82,51.5386
11.25,11.250499999999999
32.38,32.3806
17.9,17.89980000000003
29.52,29.44750000000001
6.84,6.840199999999999
33.28,33.206299999999985
13.48,13.472600000000014
38.53,38.40290000000001
15.99,15.991500000000007
69.97,68.3766
8.61,8.610300000000011
33.73,33.74539999999997
20.35,20.346099999999975
32.47,32.2937
0.0,0.0
28.67,28.519500000000008
0.0,0.0
34.25,34.23799999999997
13.27,13.269899999999986
0.0,0.0
0.0,0.0
52.45,50.72749999999999
19.77,19.766999999999985
15.49,15.490100000000007
39.86,39.87149999999994
8.15,8.150499999999989
44.09,44.08819999999996
0.0,0.0
8.2,8.198300000000012
6.32,6.320600000000004
13.51,13.510199999999992
19.45,19.448700000000027
44.98,45.658599999999986
29.7,29.698399999999992
30.81,32.086799999999975
0.0,0.0
66.78,66.77869999999996
44.84,44.82530000000003
0.0,0.0
37.67,37.61549999999997
49.64,51.46839999999998
30.14,30.129500000000025
67.06,67.04750000000004
19.62,19.61979999999995
32.42,31.958399999999997
22.63,22.640000000000022
39.22,38.692199999999964
24.4,24.712200000000003
0.0,0.0
33.85,33.2811
8.42,8.419099999999988
5.31,5.304800000000004
29.58,29.573200000000007
12.18,12.180299999999995
10.16,10.158199999999988
6.82,6.818800000000006
16.46,16.44420000000003
21.75,21.945600000000002
14.09,14.089399999999987
59.71,59.39209999999996
39.51,39.50210000000002
0.0,0.0
16.84,16.840399999999974
15.19,15.187800000000022
30.09,30.060800000000008
41.94,41.623100000000015
42.65,42.65329999999998
12.3,12.300199999999977
14.35,14.35889999999999
11.24,11.237800000000009
0.0,0.0
50.59,50.57899999999999
27.45,27.459100000000014
16.34,16.339999999999975
10.65,10.64919999999999
14.87,14.86939999999997
19.93,19.93000000000002
48.48,48.432499999999955
32.0,32.00630000000006
14.5,14.4997
32.31,32.29560000000001
49.69,49.68749999999998
18.13,18.130900000000032
14.88,14.935299999999994
19.75,19.746700000000004
11.99,11.989700000000006
0.0,0.0
30.48,31.415199999999977
17.73,17.728200000000015
28.87,28.873700000000007
51.57,51.157900000000026
19.78,19.774599999999985
39.28,39.46889999999996
31.64,31.63840000000001
56.17,55.11709999999997
44.32,44.30660000000002
34.92,34.855799999999995
15.56,15.564999999999966
13.17,13.306899999999992
5.03,5.03009999999999
35.64,35.63859999999998
14.83,14.83109999999999
40.23,41.85859999999996
8.05,8.049099999999989
0.0,0.0
30.58,30.575499999999973
19.3,19.29919999999997
11.49,11.487000000000007
12.36,12.35909999999999
11.68,11.68009999999999
19.06,19.061199999999968
31.06,31.060700000000043
49.67,50.1624
0.0,0.0
30.01,30.050800000000027
26.55,26.54039999999999
0.0,0.0
40.62,40.60649999999997
65.85,65.85699999999996
28.74,28.7712
0.0,0.0
0.0,0.0
13.7,13.696200000000017
19.08,19.072899999999976
10.3,10.294599999999981
37.96,37.95489999999998
0.0,0.0
33.3,34.67269999999997
0.0,0.0
39.98,39.984299999999905
33.37,32.77679999999999
17.97,17.96830000000002
19.09,19.087799999999973
18.52,18.508299999999995
0.0,0.0
16.33,16.32999999999998
7.39,7.387199999999992
26.36,26.687699999999992
16.62,16.620199999999965
16.17,16.169500000000017
5.72,5.720300000000014
